Customer ID,Age,Gender,Item Purchased,Category,Price,Quantity,Size,Color,Season,Rating,Payment Mode,Subscription Status,Total Amount
CUST0040,50,Female,Remote Car,Toys,482.69,3,S,Red,Summer,3.4,Cash,Yes,1448.07
CUST0041,33,Female,Foundation,Beauty,66.53,1,XL,Black,Winter,1.7,PayPal,No,66.53
CUST0042,29,Female,Foundation,Beauty,366.78,8,,Blue,Summer,,Credit Card,Yes,2934.24
CUST0043,55,Other,Board Game,Toys,469.48,5,S,Green,Spring,2.3,Cash,No,2347.4
CUST0044,69,Male,Mascara,Beauty,94.71,5,,Green,Summer,1.1,Credit Card,No,473.55
CUST0045,51,Other,Textbook,Books,,4,,Red,Spring,1.1,Cash,Yes,
CUST0046,31,Male,Curtains,Home & Garden,371.85,6,L,Orange,Winter,4.3,PayPal,No,2231.1
CUST0047,53,Other,Remote Car,Toys,289.36,3,XS,Blue,Fall,2.1,Credit Card,No,868.08
CUST0048,50,Female,Lamp,Home & Garden,421.71,9,L,Orange,Fall,3.1,PayPal,Yes,3795.39
CUST0049,40,Female,Smartwatch,Electronics,74.19,5,XS,Blue,Summer,2.2,Cash,Yes,370.95
CUST0050,67,Female,Biography,Books,398.66,3,,Red,Fall,4.8,PayPal,Yes,1195.98
CUST0051,62,Other,Water Bottle,Sports,104.81,1,XXL,Blue,Winter,,Credit Card,Yes,104.81
CUST0052,19,Male,Novel,Books,86.01,6,XL,Black,Fall,2.7,Credit Card,No,516.06
CUST0053,58,Male,Puzzle,Toys,86.31,2,,Orange,Summer,4.5,PayPal,Yes,172.62
CUST0054,38,Female,Water Bottle,Sports,408.21,3,XS,Red,Winter,4.4,Debit Card,Yes,1224.63
CUST0055,19,Female,Headphones,Electronics,334.27,1,XS,Black,Spring,1.7,Cash,Yes,334.27
CUST0056,44,Female,Doll,Toys,263.92,9,XS,Blue,Summer,4.2,Cash,Yes,2375.28
CUST0057,26,Female,Jeans,Clothing,182.62,8,,Red,Spring,2.8,PayPal,Yes,1460.96
CUST0058,18,Male,Rug,Home & Garden,439.21,2,S,Blue,Winter,2.9,Debit Card,No,878.42
CUST0059,28,Other,Headphones,Electronics,199.26,8,XXL,Orange,Summer,1.5,Credit Card,Yes,1594.08
CUST0060,20,Other,Lamp,Home & Garden,,9,S,Red,Summer,1.3,UPI,No,
CUST0061,69,Other,Foundation,Beauty,222.37,1,XL,Blue,Winter,3.9,UPI,Yes,222.37
CUST0062,,Other,Jeans,Clothing,191.59,5,,Orange,Fall,3,PayPal,Yes,957.95
CUST0063,43,Female,Jeans,Clothing,234.03,8,XS,Black,Summer,2.7,Debit Card,Yes,1872.24
CUST0064,21,Female,Smartwatch,Electronics,154.18,2,XXL,Purple,Summer,3.9,Debit Card,Yes,308.36
CUST0065,35,Female,Jacket,Clothing,375.07,4,XXL,Black,Spring,4.1,Cash,Yes,1500.28
CUST0066,23,Other,Dumbbells,Sports,253.85,7,M,Blue,Fall,1.6,Credit Card,Yes,1776.95
CUST0067,52,Female,Jacket,Clothing,119.95,3,XL,Red,Spring,3.4,Debit Card,Yes,359.85
CUST0068,39,Female,Vase,Home & Garden,450.29,5,XXL,Green,Spring,1.5,UPI,Yes,2251.45
CUST0069,60,Male,Vase,Home & Garden,195.03,8,,Black,Fall,4,Credit Card,No,1560.24
CUST0070,32,Male,Board Game,Toys,274.06,3,XS,Black,Fall,3.6,Credit Card,Yes,822.18
CUST0071,,Female,Vase,Home & Garden,453.7,4,XS,Orange,Winter,4.8,PayPal,No,1814.8
CUST0072,54,Male,Lego Set,Toys,314,9,XXL,Yellow,Fall,1.3,Debit Card,Yes,2826
CUST0073,69,Male,Rug,Home & Garden,62.86,7,S,Green,Summer,1.2,PayPal,No,440.02
CUST0074,59,Female,Water Bottle,Sports,470.22,1,XL,Blue,Fall,2.1,Debit Card,Yes,470.22
CUST0075,29,Female,Puzzle,Toys,315.72,4,XS,Purple,Winter,2,Cash,Yes,1262.88
CUST0076,64,Female,Textbook,Books,170.78,4,XXL,Red,Winter,2,PayPal,Yes,683.12
CUST0077,66,Female,Lipstick,Beauty,73.94,9,XS,Yellow,Winter,4.6,PayPal,No,665.46
CUST0078,59,Other,Headphones,Electronics,398.04,6,XXL,Blue,Fall,,UPI,No,2388.24
CUST0079,55,Other,Curtains,Home & Garden,311.94,9,XL,White,Fall,2.1,PayPal,No,2807.46
CUST0080,,Female,Jacket,Clothing,269.06,6,XXL,Purple,Spring,4,Debit Card,No,1614.36
CUST0081,62,Male,Plant Pot,Home & Garden,447.48,6,M,Black,Spring,2.8,UPI,Yes,2684.88
CUST0082,52,Female,Jeans,Clothing,395.36,5,XXL,White,Summer,4.1,PayPal,Yes,1976.8
CUST0083,47,Female,Perfume,Beauty,80.08,5,XXL,Black,Spring,1.3,PayPal,Yes,400.4
CUST0084,41,Male,Mascara,Beauty,159.3,2,,Black,Summer,3,Cash,No,318.6
CUST0085,,Other,Lipstick,Beauty,128,8,XL,White,Winter,1.1,PayPal,Yes,1024
CUST0086,47,Female,T-Shirt,Clothing,373.25,8,,Purple,Spring,1.3,Credit Card,No,2986
CUST0087,31,Female,Rug,Home & Garden,21.6,1,XXL,Orange,Fall,4.6,UPI,No,21.6
CUST0088,23,Other,Perfume,Beauty,287.1,8,XL,White,Spring,1.6,Credit Card,No,2296.8
CUST0089,20,Other,Running Shoes,Sports,382.42,5,M,Blue,Summer,,UPI,No,1912.1
CUST0090,33,Male,Remote Car,Toys,439,2,XL,Yellow,Spring,2.6,Cash,No,878
CUST0091,24,Other,Jacket,Clothing,174.33,2,XS,Yellow,Winter,2.4,PayPal,Yes,348.66
CUST0092,69,Other,Dress,Clothing,411.52,6,,White,Fall,4.6,PayPal,No,2469.12
CUST0093,31,Other,Lamp,Home & Garden,59.76,9,XL,Blue,Summer,1.1,PayPal,No,537.84
CUST0094,26,Male,T-Shirt,Clothing,423.99,1,M,Orange,Fall,3.7,UPI,Yes,423.99
CUST0095,32,Other,Jeans,Clothing,68.11,6,L,Yellow,Fall,4.9,PayPal,No,408.66
CUST0096,38,Other,Perfume,Beauty,201.66,9,XXL,Blue,Summer,3.2,Credit Card,No,1814.94
CUST0097,52,Male,Plant Pot,Home & Garden,399.66,8,XL,Orange,Fall,4.7,PayPal,Yes,3197.28
CUST0098,19,Other,Foundation,Beauty,79.21,6,XXL,Blue,Fall,1.2,Cash,Yes,475.26
CUST0099,44,Other,Remote Car,Toys,118.48,3,S,Black,Spring,2.7,Credit Card,Yes,355.44
CUST0100,19,Male,Puzzle,Toys,362.52,8,XS,Yellow,Fall,2,PayPal,No,2900.16
CUST0101,52,Female,Moisturizer,Beauty,361.42,9,,Orange,Fall,3.9,PayPal,Yes,3252.78
CUST0102,35,Male,Remote Car,Toys,322.37,1,XS,Yellow,Fall,4.9,Debit Card,Yes,322.37
CUST0103,31,Other,Curtains,Home & Garden,348.5,9,S,Black,Fall,2,UPI,Yes,3136.5
CUST0104,37,Other,Phone,Electronics,273.65,6,S,White,Summer,3.6,Credit Card,No,1641.9
CUST0105,35,Other,Perfume,Beauty,129.64,6,,Black,Winter,1.8,Debit Card,Yes,777.84
CUST0106,27,Male,Yoga Mat,Sports,176.12,4,XL,Yellow,Spring,3.3,Cash,No,704.48
CUST0107,42,Other,Dumbbells,Sports,94.89,1,S,Yellow,Fall,2.9,UPI,No,94.89
CUST0108,19,Other,Sweater,Clothing,454.68,8,L,Purple,Fall,4.9,Credit Card,Yes,3637.44
CUST0109,42,Male,Doll,Toys,293.78,2,XXL,Orange,Summer,3.4,PayPal,No,587.56
CUST0110,,Female,Dumbbells,Sports,203.42,1,XXL,White,Winter,2.4,Credit Card,No,203.42
CUST0111,53,Female,Jeans,Clothing,233.69,2,M,Black,Fall,1.5,PayPal,Yes,467.38
CUST0112,48,Other,Phone,Electronics,473.91,1,S,Orange,Summer,1.6,UPI,No,473.91
CUST0113,31,Male,Curtains,Home & Garden,80.91,1,S,Red,Spring,1.9,PayPal,Yes,80.91
CUST0114,18,Other,Lamp,Home & Garden,295.18,9,L,Orange,Spring,2,Cash,No,2656.62
CUST0115,63,Male,Plant Pot,Home & Garden,255.41,1,XS,Red,Fall,4.4,PayPal,No,255.41
CUST0116,33,Male,Dumbbells,Sports,307.67,4,XS,White,Fall,3.2,Cash,Yes,1230.68
CUST0117,63,Female,Smartwatch,Electronics,13.96,6,XXL,Black,Winter,3.1,UPI,Yes,83.76
CUST0118,69,Female,Dumbbells,Sports,436.7,7,XXL,Black,Winter,1.5,UPI,No,3056.9
CUST0119,20,Male,Remote Car,Toys,466.4,2,XL,Blue,Fall,4.4,Credit Card,No,932.8
CUST0120,52,Other,Running Shoes,Sports,284.74,6,,Yellow,Summer,3.9,Cash,Yes,1708.44
CUST0121,58,Female,Smartwatch,Electronics,349.84,7,L,Green,Winter,1.3,Cash,No,2448.88
CUST0122,23,Other,Headphones,Electronics,461.64,2,,Purple,Fall,3.8,Debit Card,No,923.28
CUST0123,42,Female,Lego Set,Toys,355.08,2,,Orange,Winter,3.2,Debit Card,No,710.16
CUST0124,30,Female,Smartwatch,Electronics,80.51,7,M,White,Fall,1.3,Debit Card,No,563.57
CUST0125,51,Other,Smartwatch,Electronics,290.26,1,,Green,Spring,2.8,PayPal,Yes,290.26
CUST0126,25,Female,Lamp,Home & Garden,305.32,8,M,Orange,Fall,2.9,Debit Card,Yes,2442.56
CUST0127,38,Female,Puzzle,Toys,214.94,3,,Green,Spring,1.7,Cash,Yes,644.82
CUST0128,51,Other,Textbook,Books,369.54,6,L,White,Winter,4.8,PayPal,Yes,2217.24
CUST0129,21,Female,Self-Help,Books,467.51,9,M,Black,Fall,4.4,UPI,Yes,4207.59
CUST0130,42,Female,Laptop,Electronics,463.16,6,XS,White,Winter,3.7,Credit Card,Yes,2778.96
CUST0131,32,Female,Comic,Books,228.17,9,M,Orange,Spring,2.8,Debit Card,No,2053.53
CUST0132,21,Other,Novel,Books,61.05,7,M,Green,Fall,2.6,UPI,Yes,427.35
CUST0133,62,Male,Tablet,Electronics,492.5,9,L,Yellow,Winter,3.6,Cash,No,4432.5
CUST0134,29,Other,Biography,Books,420.25,2,L,Purple,Spring,3.2,Credit Card,No,840.5
CUST0135,49,Male,Dumbbells,Sports,66.71,8,M,Purple,Winter,1.2,UPI,No,533.68
CUST0136,49,Female,T-Shirt,Clothing,460.82,8,S,Yellow,Summer,3.1,Credit Card,Yes,3686.56
CUST0137,45,Male,Remote Car,Toys,435.6,2,L,Yellow,Spring,4.2,Debit Card,No,871.2
CUST0138,30,Other,Jacket,Clothing,261.82,4,XL,Black,Spring,2.8,Cash,Yes,1047.28
CUST0139,48,Other,Laptop,Electronics,297.68,7,XL,Orange,Spring,1.2,Credit Card,No,2083.76
CUST0140,31,Female,Rug,Home & Garden,202.51,4,XS,Red,Fall,4.1,UPI,No,810.04
CUST0141,37,Male,Lego Set,Toys,32.11,4,,White,Fall,1.8,Debit Card,Yes,128.44
CUST0142,35,Female,Tablet,Electronics,170.92,6,M,Purple,Fall,,Debit Card,No,1025.52
CUST0143,46,Female,Lamp,Home & Garden,,6,S,Yellow,Summer,1.7,UPI,No,
CUST0144,23,Other,T-Shirt,Clothing,7.29,3,XS,White,Summer,2.3,UPI,No,21.87
CUST0145,49,Male,Laptop,Electronics,170.08,9,M,Purple,Spring,4,Credit Card,No,1530.72
CUST0146,46,Male,Puzzle,Toys,202.09,2,L,Yellow,Summer,3.1,PayPal,Yes,404.18
CUST0147,60,Male,Lego Set,Toys,271.01,6,XL,Orange,Winter,1.8,Debit Card,No,1626.06
CUST0148,19,Male,Foundation,Beauty,460.33,7,XXL,Purple,Spring,4.5,Credit Card,No,3222.31
CUST0149,40,Female,Running Shoes,Sports,176.44,9,S,Black,Spring,,UPI,Yes,1587.96
CUST0150,,Female,Comic,Books,176.74,3,XXL,Red,Winter,4.5,Credit Card,No,530.22
CUST0151,,Other,Lamp,Home & Garden,370.06,3,XL,Red,Spring,2,UPI,No,1110.18
CUST0152,68,Female,Mascara,Beauty,228.85,7,,Yellow,Summer,2.8,Cash,No,1601.95
CUST0153,22,Female,Biography,Books,116.18,4,,Purple,Fall,4.9,UPI,No,464.72
CUST0154,36,Other,Self-Help,Books,228.96,8,XXL,Black,Winter,4.1,UPI,Yes,1831.68
CUST0155,51,Other,Laptop,Electronics,74.72,7,L,Blue,Summer,1.1,UPI,No,523.04
CUST0156,27,Other,Comic,Books,92.31,5,M,White,Winter,1.3,PayPal,Yes,461.55
CUST0157,42,Female,Cycle Helmet,Sports,251.69,7,L,White,Winter,2.9,UPI,No,1761.83
CUST0158,19,Female,Lego Set,Toys,212.37,3,XXL,Green,Spring,4.6,Debit Card,No,637.11
CUST0159,28,Other,Mascara,Beauty,,2,L,Black,Spring,3.2,Debit Card,No,
CUST0160,67,Other,Biography,Books,184.38,6,XL,Purple,Summer,3,Credit Card,Yes,1106.28
CUST0161,48,Other,Tablet,Electronics,292.39,2,S,Orange,Winter,1.4,PayPal,No,584.78
CUST0162,32,Female,Dumbbells,Sports,317.97,3,L,Orange,Spring,3.6,Credit Card,No,953.91
CUST0163,26,Female,Sweater,Clothing,11.48,6,XL,Green,Spring,4.3,Debit Card,Yes,68.88
CUST0164,40,Male,Remote Car,Toys,333.45,5,S,Yellow,Winter,2.5,Debit Card,Yes,1667.25
CUST0165,36,Female,Board Game,Toys,93.13,8,,Purple,Summer,4.1,Cash,Yes,745.04
CUST0166,26,Female,Mascara,Beauty,480.73,9,M,Green,Summer,4.9,UPI,Yes,4326.57
CUST0167,52,Female,Lego Set,Toys,78.59,3,XXL,Red,Winter,1.8,Debit Card,No,235.77
CUST0168,38,Other,Biography,Books,210.24,3,,White,Summer,3.1,Credit Card,No,630.72
CUST0169,26,Female,Tablet,Electronics,47.25,3,M,Purple,Spring,2.1,Credit Card,No,141.75
CUST0170,45,Other,Remote Car,Toys,498.45,6,,Green,Winter,4.2,UPI,No,2990.7
CUST0171,63,Male,Puzzle,Toys,253.59,1,XS,Red,Spring,3.3,UPI,Yes,253.59
CUST0172,68,Male,Sweater,Clothing,299.72,7,,Black,Fall,,Cash,No,2098.04
CUST0173,24,Other,T-Shirt,Clothing,38.2,1,XL,Green,Fall,4.2,PayPal,No,38.2
CUST0174,,Other,Rug,Home & Garden,376.23,5,S,Yellow,Summer,2.6,Credit Card,No,1881.15
CUST0175,33,Other,Water Bottle,Sports,108.9,8,,Yellow,Fall,4.7,UPI,No,871.2
CUST0176,50,Female,Textbook,Books,449.54,4,L,Yellow,Spring,3.1,Credit Card,Yes,1798.16
CUST0177,21,Male,Doll,Toys,106.54,5,M,Purple,Fall,1.6,UPI,No,532.7
CUST0178,21,Other,Doll,Toys,99.39,4,,Orange,Spring,3.8,Debit Card,No,397.56
CUST0179,56,Female,Smartwatch,Electronics,23.09,4,S,Orange,Summer,4.2,Credit Card,No,92.36
CUST0180,57,Male,Curtains,Home & Garden,238.67,8,XL,White,Summer,2.3,Debit Card,Yes,1909.36
CUST0181,34,Female,Water Bottle,Sports,284.6,2,XS,Green,Spring,4.4,Credit Card,Yes,569.2
CUST0182,,Male,Curtains,Home & Garden,37.53,1,M,Black,Fall,4.6,PayPal,No,37.53
CUST0183,56,Female,Perfume,Beauty,388.89,3,XXL,Green,Summer,2.1,Cash,No,1166.67
CUST0184,69,Male,Dumbbells,Sports,229.38,9,S,White,Winter,4.9,Debit Card,No,2064.42
CUST0185,46,Male,Puzzle,Toys,264.57,4,XXL,Red,Summer,1.6,UPI,Yes,1058.28
CUST0186,69,Female,Lego Set,Toys,223.18,5,S,White,Fall,1.8,PayPal,No,1115.9
CUST0187,53,Other,Dumbbells,Sports,203.38,2,S,Yellow,Winter,1.7,Credit Card,No,406.76
CUST0188,55,Male,Doll,Toys,282.02,4,XL,Purple,Fall,4.6,Debit Card,No,1128.08
CUST0189,56,Other,Biography,Books,81.84,2,XL,Red,Spring,3.6,Credit Card,Yes,163.68
CUST0190,67,Female,Yoga Mat,Sports,95.05,2,XL,Purple,Winter,1.6,Credit Card,No,190.1
CUST0191,54,Other,Rug,Home & Garden,431.58,4,,Yellow,Fall,2.8,Credit Card,No,1726.32
CUST0192,69,Other,Water Bottle,Sports,473.33,6,L,Blue,Winter,3.5,Cash,Yes,2839.98
CUST0193,52,Other,Doll,Toys,189.79,7,S,White,Fall,1.3,Cash,Yes,1328.53
CUST0194,24,Other,Novel,Books,139.02,3,M,White,Winter,4.5,UPI,No,417.06
CUST0195,44,Other,Textbook,Books,323.78,3,XXL,Black,Fall,4.2,Debit Card,Yes,971.34
CUST0196,45,Male,Perfume,Beauty,207.32,6,XL,Green,Spring,3,PayPal,No,1243.92
CUST0197,39,Male,Vase,Home & Garden,17.57,3,,Red,Winter,4.9,PayPal,Yes,52.71
CUST0198,31,Male,Jeans,Clothing,82.3,2,XL,Orange,Winter,2.7,PayPal,Yes,164.6
CUST0199,24,Female,Sweater,Clothing,359.41,8,XXL,Purple,Winter,4.9,Credit Card,No,2875.28
CUST0200,,Other,Water Bottle,Sports,331.17,5,XXL,Red,Winter,3.7,Cash,No,1655.85
CUST0201,39,Male,Foundation,Beauty,18.41,1,S,Black,Spring,3.5,Debit Card,No,18.41
CUST0202,22,Female,Tablet,Electronics,114.88,3,XL,Black,Winter,1.7,Credit Card,Yes,344.64
CUST0203,19,Male,Water Bottle,Sports,119.38,8,XXL,Purple,Summer,4.5,Cash,No,955.04
CUST0204,44,Male,Lipstick,Beauty,337.59,4,L,Orange,Spring,2.7,Cash,No,1350.36
CUST0205,38,Other,Plant Pot,Home & Garden,,7,L,Green,Summer,1.6,Debit Card,No,
CUST0206,55,Female,Lamp,Home & Garden,56.53,2,XL,Purple,Winter,1.1,Debit Card,No,113.06
CUST0207,32,Other,Lamp,Home & Garden,400.96,7,,Purple,Fall,3.2,Debit Card,No,2806.72
CUST0208,38,Other,Rug,Home & Garden,93.38,5,XXL,Yellow,Summer,3.1,Credit Card,Yes,466.9
CUST0209,27,Male,Plant Pot,Home & Garden,328.11,5,S,Orange,Winter,3.9,UPI,No,1640.55
CUST0210,40,Other,Mascara,Beauty,122.9,6,S,Green,Summer,4.6,Debit Card,No,737.4
CUST0211,,Female,Mascara,Beauty,54.22,9,,White,Winter,1.3,UPI,Yes,487.98
CUST0212,22,Other,Comic,Books,125.37,6,S,Yellow,Winter,3.9,Credit Card,No,752.22
CUST0213,18,Other,Sweater,Clothing,362.52,8,XS,Blue,Winter,1.7,UPI,No,2900.16
CUST0214,30,Other,Puzzle,Toys,428.57,7,XL,Orange,Fall,4.4,PayPal,No,2999.99
CUST0215,38,Male,Curtains,Home & Garden,415.96,9,S,Green,Summer,4.3,UPI,No,3743.64
CUST0216,43,Female,Phone,Electronics,201.61,4,L,Black,Spring,,Debit Card,No,806.44
CUST0217,,Male,Doll,Toys,335.7,2,XXL,Yellow,Spring,3.8,Credit Card,Yes,671.4
CUST0218,62,Male,Perfume,Beauty,106.47,7,M,Green,Spring,2.3,Debit Card,Yes,745.29
CUST0219,38,Male,Tablet,Electronics,150.11,6,,Red,Spring,2.9,PayPal,Yes,900.66
CUST0220,35,Male,Smartwatch,Electronics,448.69,1,M,Purple,Winter,4.3,Debit Card,No,448.69
CUST0221,54,Male,Smartwatch,Electronics,11.44,9,S,Blue,Summer,2.8,Debit Card,Yes,102.96
CUST0222,62,Female,Textbook,Books,47.33,9,M,White,Summer,2.4,Debit Card,No,425.97
CUST0223,49,Other,Mascara,Beauty,107.9,2,M,Purple,Fall,3,Cash,No,215.8
CUST0224,53,Male,Phone,Electronics,18.13,3,XS,Red,Summer,4.3,PayPal,No,54.39
CUST0225,34,Male,Plant Pot,Home & Garden,94.81,5,L,Red,Summer,2.3,Debit Card,Yes,474.05
CUST0226,,Female,Cycle Helmet,Sports,293.61,5,,Blue,Summer,1.7,Debit Card,Yes,1468.05
CUST0227,,Female,Smartwatch,Electronics,213.61,1,L,White,Fall,,Debit Card,Yes,213.61
CUST0228,28,Other,Novel,Books,446.87,8,XS,Black,Spring,4.3,Credit Card,No,3574.96
CUST0229,38,Female,Lego Set,Toys,409.63,8,XS,Yellow,Summer,1.4,Cash,Yes,3277.04
CUST0230,,Other,Perfume,Beauty,174.2,4,M,Orange,Fall,2,Credit Card,No,696.8
CUST0231,43,Male,Self-Help,Books,133.41,7,XL,White,Fall,1.6,Cash,Yes,933.87
CUST0232,21,Male,Headphones,Electronics,192.95,3,XXL,Orange,Winter,2.4,Debit Card,Yes,578.85
CUST0233,51,Other,Lipstick,Beauty,,6,XXL,Green,Fall,2.8,PayPal,No,
CUST0234,69,Female,Cycle Helmet,Sports,137.69,9,M,Red,Spring,4,UPI,No,1239.21
CUST0235,,Other,Laptop,Electronics,313.95,1,XXL,Green,Summer,3.6,UPI,Yes,313.95
CUST0236,35,Female,Novel,Books,207.66,5,XS,Black,Fall,3.5,Debit Card,Yes,1038.3
CUST0237,,Male,T-Shirt,Clothing,278.26,4,L,Green,Spring,2.4,Credit Card,Yes,1113.04
CUST0238,,Female,Rug,Home & Garden,220.88,8,XXL,White,Fall,4.4,PayPal,No,1767.04
CUST0239,58,Other,Doll,Toys,150.76,1,,Green,Fall,2.9,Cash,No,150.76
CUST0240,46,Other,Biography,Books,474.48,9,M,Black,Fall,4.9,Debit Card,Yes,4270.32
CUST0241,69,Male,Foundation,Beauty,382.98,6,XL,Black,Fall,3.5,PayPal,Yes,2297.88
CUST0242,46,Female,Smartwatch,Electronics,74.36,4,M,Black,Fall,1.5,PayPal,No,297.44
CUST0243,55,Female,Rug,Home & Garden,434.89,9,S,White,Spring,,Cash,Yes,3914.01
CUST0244,,Female,Smartwatch,Electronics,,5,M,Black,Summer,2.3,PayPal,No,
CUST0245,38,Male,Foundation,Beauty,447.8,5,XS,Red,Summer,3.7,Credit Card,No,2239
CUST0246,59,Female,Tablet,Electronics,400.93,5,L,Purple,Summer,1.3,Credit Card,No,2004.65
CUST0247,30,Other,Jacket,Clothing,215.48,1,L,Black,Summer,1.7,Credit Card,No,215.48
CUST0248,66,Female,Rug,Home & Garden,16.12,1,,Green,Spring,4.4,PayPal,No,16.12
CUST0249,58,Male,Plant Pot,Home & Garden,138,8,XXL,Yellow,Winter,,Credit Card,No,1104
CUST0250,34,Female,Perfume,Beauty,273.11,8,XS,Green,Winter,4.3,Cash,Yes,2184.88
CUST0251,26,Female,Board Game,Toys,,6,S,Yellow,Spring,2.1,PayPal,No,
CUST0252,58,Other,Jacket,Clothing,132.65,4,XS,Green,Spring,3.6,UPI,No,530.6
CUST0253,,Female,Novel,Books,73.98,2,M,White,Fall,3.8,PayPal,Yes,147.96
CUST0254,19,Other,Phone,Electronics,418.29,2,XS,Green,Fall,3.1,Cash,No,836.58
CUST0255,65,Other,Yoga Mat,Sports,492.28,9,XS,White,Fall,2.2,UPI,Yes,4430.52
CUST0256,46,Male,Laptop,Electronics,265.22,5,,White,Summer,1.9,PayPal,No,1326.1
CUST0257,50,Other,Laptop,Electronics,89.98,4,S,Black,Fall,,Credit Card,Yes,359.92
CUST0258,27,Other,Self-Help,Books,139.79,1,M,Red,Winter,2.2,Debit Card,Yes,139.79
CUST0259,67,Male,Tablet,Electronics,14.1,7,XL,Yellow,Summer,3.6,Debit Card,No,98.7
CUST0260,57,Other,T-Shirt,Clothing,457.58,3,,Black,Fall,4.8,Credit Card,No,1372.74
CUST0261,38,Male,Dress,Clothing,63.29,6,XL,Black,Summer,4.5,Debit Card,No,379.74
CUST0262,,Female,Plant Pot,Home & Garden,290.38,5,,Purple,Winter,4.1,Debit Card,No,1451.9
